epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39397,1.59153,2.58391,1.49173,0,0,0,0,1.59667,3.26211,1.50381,0.000647059,0.000647059,0.000647059
2,13.616,1.50598,1.98652,1.43567,0.49306,0.20402,0.358,0.20401,1.74306,2.88977,1.71157,0.00128771,0.00128771,0.00128771
3,19.8053,1.58058,1.88252,1.47818,0.64118,0.31322,0.46863,0.27244,1.81829,2.39593,1.67711,0.00190197,0.00190197,0.00190197
4,26.0402,1.58957,1.83222,1.47209,0.52863,0.47051,0.46778,0.23835,1.77952,2.37249,1.77674,0.0018812,0.0018812,0.0018812
5,32.3167,1.55913,1.74227,1.47477,0.61904,0.47414,0.53329,0.30197,1.68759,2.08433,1.66038,0.0018416,0.0018416,0.0018416
6,38.545,1.54467,1.66118,1.4389,0.63495,0.45977,0.57247,0.34602,1.59492,1.90068,1.62764,0.001802,0.001802,0.001802
7,44.7207,1.4704,1.53059,1.39123,0.5401,0.48851,0.51151,0.29483,1.60868,2.16033,1.54025,0.0017624,0.0017624,0.0017624
8,50.9872,1.45857,1.4969,1.39841,0.60132,0.45402,0.53356,0.31904,1.58149,2.08276,1.56531,0.0017228,0.0017228,0.0017228
9,57.2524,1.43651,1.40496,1.38689,0.61755,0.56609,0.62565,0.38067,1.56958,1.63054,1.49043,0.0016832,0.0016832,0.0016832
10,63.481,1.43888,1.42876,1.36142,0.59748,0.54598,0.60337,0.36966,1.5898,1.6974,1.50558,0.0016436,0.0016436,0.0016436
11,70.7585,1.41114,1.39763,1.37881,0.63922,0.64655,0.67419,0.42066,1.45167,1.43517,1.43214,0.001604,0.001604,0.001604
12,78.1326,1.42896,1.41611,1.36968,0.67392,0.56034,0.63476,0.3843,1.51874,1.60219,1.45836,0.0015644,0.0015644,0.0015644
13,85.3043,1.40889,1.34229,1.36499,0.73673,0.59483,0.68333,0.41487,1.52704,1.35676,1.49329,0.0015248,0.0015248,0.0015248
14,92.1056,1.35467,1.24965,1.30537,0.73399,0.6092,0.70817,0.42424,1.4951,1.47531,1.44928,0.0014852,0.0014852,0.0014852
