epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97634,1.58229,2.55452,1.48228,1,0.00287,0.50143,0.40114,1.44449,2.8873,1.35537,0.000647059,0.000647059,0.000647059
2,19.3061,1.54193,1.98489,1.46131,0.34247,0.14368,0.24176,0.11683,1.77664,3.09944,1.9101,0.00128771,0.00128771,0.00128771
3,28.5266,1.58717,1.90928,1.48327,0.4931,0.33908,0.38697,0.21059,1.68886,2.79285,1.6253,0.00190197,0.00190197,0.00190197
4,37.7723,1.60087,1.83918,1.49934,0.47585,0.36523,0.40535,0.19917,1.76437,2.3526,1.81551,0.0018812,0.0018812,0.0018812
5,47.1761,1.52482,1.7022,1.44537,0.50007,0.43391,0.46767,0.26978,1.68929,2.13046,1.65947,0.0018416,0.0018416,0.0018416
6,56.3427,1.52881,1.62384,1.44015,0.43966,0.43966,0.45462,0.26928,1.68892,2.14908,1.66384,0.001802,0.001802,0.001802
